character,dialogue,next_line
THREEPIO,what could possibly have come over master luke. is it something i did? he never expressed any unhappiness with my work. oh! oh! hold it! ohh! [EOL],"ah,"
NINEDENINE,"ah, good. new acquisitions. you are a protocol droid, are you not? [EOL]",i
THREEPIO,"i am see-threepio, human-cy... [EOL]",yes
NINEDENINE,yes or no will do. [EOL],oh.
THREEPIO,"oh. well, yes. [EOL]",how
NINEDENINE,how many languages do you speak? [EOL],i
THREEPIO,"i am fluent in over six million forms of communication, and can readily... [EOL]",splendid!
NINEDENINE,splendid! we have been without an interpreter since our master got angry with our last protocol droid and disintegrated him. [EOL],disintegrated?
THREEPIO,disintegrated? [EOL],guard!
NINEDENINE,guard! this protocol droid might be useful. fit him with a restraining bolt and take him back to his excellency's main audience chamber. [EOL],"artoo,"
THREEPIO,"artoo, don't leave me! ohhh! [EOL]",you're
NINEDENINE,"you're a feisty little one, but you'll soon learn some respect. i have need for you on the master's sail barge. and i think you'll fit in nicely. [EOL]",da
JABBA,da eitha! [EOL],na
OOLA,na chuba negatorie na! na! natoota... [EOL],boscka!
JABBA,boscka! [EOL],i
BOUSHH,i have come for the bounty on this wookiee. [EOL],"oh,"
THREEPIO,"oh, no! chewbacca! [EOL]",at
JABBA,at last we have the mighty chewbacca. [EOL],"oh,"
THREEPIO,"oh, uh, yes, uh, i am here, your worshipfulness. uh... yes! [EOL]",oh.
THREEPIO,oh. the illustrious jabba bids you welcome and will gladly pay you the reward of twenty- five thousand. [EOL],i
BOUSHH,i want fifty thousand. no less. [EOL],"uh,"
THREEPIO,"uh, oh... but what, what did i say? uh, the mighty jabba asks why he must pay fifty thousand. [EOL]",because
THREEPIO,because he's holding a thermal detonator. [EOL],this
JABBA,this bounty hunter is my kind of scum. fearless and inventive. [EOL],jabba
THREEPIO,jabba offers the sum of thirty-five. and i suggest you take it. [EOL],zeebuss.
BOUSHH,zeebuss. [EOL],he
THREEPIO,he agrees! [EOL],just
BOUSHH,just relax for a moment. you're free of the carbonite. [EOL],shhh.
BOUSHH,shhh. you have hibernation sickness. [EOL],i
HAN,i can't see. [EOL],you
BOUSHH,you eyesight will return in time. [EOL],where
HAN,where am i? [EOL],jabba's
BOUSHH,jabba's palace. [EOL],who
HAN,who are you? [EOL],someone
LEIA,someone who loves you. [EOL],leia!
HAN,leia! [EOL],i
LEIA,i gotta get you out of here. [EOL],what's
HAN,what's that? i know that laugh. [EOL],"hey,"
HAN,"hey, jabba. look, jabba, i was just on my way to pay you back, but i got a little sidetracked. it's not my fault. [EOL]",it's
JABBA,"it's too late for that, solo. you may have been a good smuggler, but now you're bantha fodder. [EOL]",look...
HAN,look... [EOL],take
JABBA,take him away! [EOL],jabba...
HAN,jabba... i'll pay you triple! you're throwing away a fortune here. don't be a fool! [EOL],bring
JABBA,bring her to me. [EOL],we
LEIA,we have powerful friends. you're gonna regret this... [EOL],i'm
JABBA,i'm sure. [EOL],ugh!
LEIA,ugh! [EOL],"ohhh,"
THREEPIO,"ohhh, i can't bear to watch. [EOL]",chewie?
HAN,"chewie? chewie, is that you? [EOL]",ah!
HAN,ah! chew--chewie! [EOL],wait.
HAN,"wait. i can't see, pal. what's goin' on? [EOL]",luke?
HAN,"luke? luke's crazy. he can't even take care of himself, much less rescue anybody. [EOL]",a...jedi
HAN,"a...jedi knight? i--i'm out of it for a little while, everybody gets delusions of grandeur. [EOL]",i'm
HAN,"i'm all right, pal. i'm all right. [EOL]",i
LUKE,i must speak with jabba. [EOL],you
LUKE,you will take me to jabba now! [EOL],you
LUKE,you serve your master well. [EOL],and
LUKE,and you will be rewarded. [EOL],at
THREEPIO,at last! master luke's come to rescue me. [EOL],master.
BIB,master. [EOL],...luke
BIB,"...luke skywalker, jedi knight. [EOL]",i
JABBA,i told you not to admit him. [EOL],i
LUKE,i must be allowed to speak. [EOL],he
BIB,he must be allowed to speak. [EOL],you
JABBA,you weak-minded fool! he's using an old jedi mind trick. [EOL],you
LUKE,you will bring captain solo and the wookiee to me. [EOL],your
JABBA,"your mind powers will not work on me, boy. [EOL]","nevertheless,"
LUKE,"nevertheless, i'm taking captain solo and his friends. you can either profit by this... or be destroyed! it's your choice. but i warn you not to underestimate my powers. [EOL]",master
THREEPIO,"master luke, you're standing on... [EOL]",there
JABBA,"there will be no bargain, young jedi. i shall enjoy watching you die. [EOL]",bascka!
JABBA,bascka! [EOL],"oh,"
THREEPIO,"oh, no! the rancor! [EOL]",bring
JABBA,bring me solo and the wookiee. they will all suffer for this outrage. [EOL],han!
LUKE,han! [EOL],luke!
HAN,luke! [EOL],are
LUKE,are you all right? [EOL],fine.
HAN,"fine. together again, huh? [EOL]",wouldn't
LUKE,wouldn't miss it. [EOL],how
HAN,how are we doing? [EOL],the
LUKE,the same as always. [EOL],that
HAN,"that bad, huh? where's leia? [EOL]",i'm
LEIA,i'm here. [EOL],"oh,"
THREEPIO,"oh, dear. his high exaltedness, the great jabba the hutt, has decreed that you are to be terminated immediately. [EOL]","good,"
HAN,"good, i hate long waits. [EOL]",you
THREEPIO,"you will therefore be taken to the dune sea and cast into the pit of carkoon, the nesting place of the all-powerful sarlacc. [EOL]",doesn't
HAN,doesn't sound so bad. [EOL],in
THREEPIO,"in his belly, you will find a new definition of pain and suffering, as you are slowly digested over a thousand years. [EOL]",on
HAN,"on second thought, let's pass on that, huh? [EOL]",you
LUKE,"you should have bargained, jabba. that's the last mistake you'll ever make. [EOL]",i
HAN,"i think my eyes are getting better. instead of a big dark blur, i see a big light blur. [EOL]",there's
LUKE,"there's nothing to see. i used to live here, you know. [EOL]",you're
HAN,"you're gonna die here, you know. convenient. [EOL]",just
LUKE,just stick close to chewie and lando. i've taken care of everything. [EOL],oh...
HAN,oh... great! [EOL],soon
JABBA,soon you will learn to appreciate me. [EOL],"oh,"
THREEPIO,"oh, i'm terribly sor... artoo! what are you doing here? [EOL]","well,"
THREEPIO,"well, i can see you're serving drinks, but this place is dangerous. they're going to execute master luke and, if we're not careful, us too! [EOL]",hmm.
THREEPIO,hmm. i wish i had your confidence. [EOL],victims
THREEPIO,"victims of the almighty sarlacc: his excellency hopes that you will die honorably. but should any of you wish to beg for mercy, the great jabba the hutt will now listen to your pleas. [EOL]","threepio,"
HAN,"threepio, you tell that slimy piece of... worm-ridden filth he'll get no such pleasure from us. right? [EOL]",jabba!
LUKE,jabba! this is your last chance. free us or die. [EOL],move
JABBA,move him into position. [EOL],put
JABBA,put him in. [EOL],"easy,"
LUKE,"easy, chewie. [EOL]",whoa!
LANDO,whoa! whoa! help! [EOL],"chewie,"
HAN,"chewie, you okay? where is he? [EOL]",i'm
HAN,"i'm okay, pal. [EOL]",han!
LANDO,han! chewie? [EOL],lando!
HAN,lando! [EOL],boba
HAN,boba fett?! boba fett?! where? [EOL],"lando,"
HAN,"lando, grab it! [EOL]",lower
LANDO,lower it! [EOL],i'm
HAN,i'm trying! [EOL],whoa!
HAN,"whoa! whoa! grab me, chewie! i'm slipping. [EOL]",grab
HAN,grab it! l--lando. grab! [EOL],grab
HAN,grab it! almost... you almost got it! [EOL],hold
LANDO,hold it! whoa! [EOL],gently
HAN,"gently now. all... all right. now easy, easy. hold me, chewie. [EOL]",chewie!
HAN,"chewie! chewie, give me the gun. don't move, lando. [EOL]","no,"
LANDO,"no, wait! i thought you were blind! [EOL]",it's
HAN,it's all right. trust me. don't move. [EOL],all
LANDO,all right! a little higher! just a little higher! [EOL],"chewie,"
HAN,"chewie, pull us up! come on! okay... up, chewie, up! [EOL]",come
LEIA,come on. we gotta get out of here quick. [EOL],not
THREEPIO,"not my eyes! artoo, help! quickly, artoo. oh! ohhh! you beast! [EOL]",get
LUKE,get the gun! point it at the deck! [EOL],point
LUKE,point it at the deck! [EOL],"artoo,"
THREEPIO,"artoo, where are we going? i couldn't possibly jump. [EOL]",come
LUKE,come on! [EOL],let's
LUKE,let's go! and don't forget the droids. [EOL],we're
LANDO,we're on our way. [EOL],i
HAN,i don't know. all i can see is a lot of blowing sand! [EOL],that's
LEIA,that's all any of us can see. [EOL],then
HAN,then i guess i'm getting better. [EOL],i've
HAN,"i've got to hand it to you, kid, you were pretty good out there. [EOL]",i
LUKE,i had a lot of help. think nothing of it. [EOL],"no,"
HAN,"no, i'm thinking a lot about it. that carbon freeze was the closest thing to dead there is. and it wasn't just sleepin'. it was a big wide awake nothing! [EOL]",i'll
LUKE,i'll see you back at the fleet. [EOL],why
HAN,why don't you leave that crate and come with us? [EOL],i
LUKE,i have a promise i have to keep first... to an old friend. [EOL],guess
HAN,"guess i owe you some thanks, too, lando. [EOL]",figured
LANDO,"figured if i left you frozen like that you'd just give me bad luck the rest of my life, so i might as well get you unfrozen sooner or later. [EOL]",he
LEIA,"he means \""you're welcome.\"" [EOL]",come
LANDO,"come on, let's get off this miserable dust ball. [EOL]",i'll
LUKE,i'll meet you back at the fleet. [EOL],hurry.
LEIA,hurry. the alliance should be assembled by now. [EOL],i
LUKE,i will. [EOL],"hey,"
HAN,"hey, luke, thanks. thanks for comin' after me. now i owe you one. [EOL]",that's
LUKE,"that's right, artoo. we're going to the dagobah system. i have a promise to keep... to an old friend. [EOL]","rise,"
EMPEROR,"rise, my friend. [EOL]",the
VADER,the death star will be completed on schedule. [EOL],you
EMPEROR,"you have done well, lord vader. and now i sense you wish to continue your search for young skywalker. [EOL]","yes,"
VADER,"yes, my master. [EOL]","patience,"
EMPEROR,"patience, my friend. in time he will seek you out. and when he does, you must bring him before me. he has grown strong. only together can we turn him to the dark side of the force. [EOL]",as
VADER,as you wish. [EOL],everything
EMPEROR,everything is proceeding as i have foreseen. [EOL],hmm.
YODA,hmm. that face you make. look i so old to young eyes? [EOL],no...
LUKE,no... of course not. [EOL],i
YODA,"i do, yes, i do! sick have i become. old and weak. when nine hundred years old you reach, look as good you will not. hmm? [EOL]",soon
YODA,"soon will i rest. yes, forever sleep. earned it, i have. [EOL]",master
LUKE,"master yoda, you can't die. [EOL]",strong
YODA,strong am i with the force... but not that strong! twilight is upon me and soon night must fall. that is the way of things ... the way of the force. [EOL],but
LUKE,but i need your help. i've come back to complete the training. [EOL],no
YODA,no more training do you require. already know you that which you need. [EOL],then
LUKE,then i am a jedi? [EOL],ohhh.
YODA,"ohhh. not yet. one thing remains: vader. you must confront vader. then, only then, a jedi will you be. and confront him you will. [EOL]",master
LUKE,master yoda... is darth vader my father? [EOL],mmm...
YODA,mmm... rest i need. yes... rest. [EOL],"yoda,"
LUKE,"yoda, i must know. [EOL]",your
YODA,your father he is. [EOL],told
YODA,"told you, did he? [EOL]",yes.
LUKE,yes. [EOL],unexpected
YODA,"unexpected this is, and unfortunate.. [EOL]",unfortunate
LUKE,unfortunate that i know the truth? [EOL],no.
YODA,no. unfortunate that you rushed to face him... that incomplete was your training. not ready for the burden were you. [EOL],"well,"
LUKE,"well, i'm sorry. [EOL]","remember,"
YODA,"remember, a jedi's strength flows from the force. but beware. anger, fear, aggression. the dark side are they. once you start down the dark path, forever will it dominate your destiny. [EOL]",luke...luke...do
YODA,"luke...luke...do not...do not underestimate the powers of the emperor, or suffer your father's fate, you will. luke, when gone am i , the last of the jedi will you be. luke, the force runs strong in your family. pass on what you have learned, luke... there is... another...sky...sky...walker. [EOL]",i
LUKE,"i can't do it, artoo. i can't go on alone. [EOL]",yoda
BEN,yoda will always be with you. [EOL],obi-wan!
LUKE,obi-wan! why didn't you tell me? [EOL],you
LUKE,you told me vader betrayed and murdered my father. [EOL],you
BEN,"you father was seduced by the dark side of the force. he ceased to be anakin skywalker and became darth vader. when that happened, the good man who was your father was destroyed. so what i have told you was true... from a certain point of view. [EOL]",a
LUKE,a certain point of view! [EOL],"luke,"
BEN,"luke, you're going to find that many of the truths we cling to depend greatly on our own point of view. [EOL]",i
BEN,"i don't blame you for being angry. if i was wrong in what i did, it certainly wouldn't have been for the first time. you see, what happened to your father was my fault. [EOL]",anakin
BEN,anakin was a good friend. [EOL],when
BEN,"when i first knew him, your father was already a great pilot. but i was amazed how strongly the force was with him. i took it upon myself to train him as a jedi. i thought that i could instruct him just as well as yoda. i was wrong. my pride has had terrible consequences for the galaxy. [EOL]",there's
LUKE,there's still good in him. [EOL],i
BEN,i also thought he could be turned back to the good side. it couldn't be done. he is more machine now than man. twisted and evil. [EOL],i
LUKE,"i can't do it, ben. [EOL]",you
BEN,you cannot escape your destiny. [EOL],i
LUKE,i tried to stop him once. i couldn't do it. [EOL],vader
BEN,"vader humbled you when first you met him, luke...but that experience was part of your training. it taught you, among other things, the value of patience. had you not been so impatient to defeat vader then, you could have finished your training here with yoda. you would have been prepared. [EOL]",but
LUKE,but i had to help my friends. [EOL],and
BEN,"and did you help them? it was they who had to save you. you achieved little by rushing back prematurely, i fear. [EOL]",i
LUKE,i found out darth vader was my father. [EOL],to
BEN,"to be a jedi, luke, you must confront and then go beyond the dark side - the side your father couldn't get past. impatience is the easiest door - for you, like your father. only, your father was seduced by what he found on the other side of the door, and you have held firm. you're no longer so reckless now, luke. you are strong and patient. and now, you must face darth vader again! [EOL]",i
LUKE,i can't kill my own father. [EOL],then
BEN,then the emperor has already won. you were our only hope. [EOL],yoda
LUKE,yoda spoke of another. [EOL],the
BEN,the other he spoke of is your twin sister. [EOL],but
LUKE,but i have no sister. [EOL],hmm.
BEN,"hmm. to protect you both from the emperor, you were hidden from your father when you were born. the emperor knew, as i did, if anakin were to have any offspring, they would be a threat to him. that is the reason why your sister remains safely anonymous. [EOL]",leia!
LUKE,leia! leia's my sister. [EOL],your
BEN,"your insight serves you well. bury your feelings deep down, luke. they do you credit. but they could be made to serve the emperor. [EOL]",when
BEN,"when your father left, he didn't know your mother was pregnant. your mother and i knew he would find out eventually, but we wanted to keep you both as safe as possible, for as long as possible. so i took you to live with my brother owen on tatooine... and your mother took leia to live as the daughter of senator organa, on alderaan. [EOL]",the
BEN,"the organa household was high-born and politically quite powerful in that system. leia became a princess by virtue of lineage... no one knew she'd been adopted, of course. but it was a title without real power, since alderaan had long been a democracy. even so, the family continued to be politically powerful, and leia, following in her foster father's path, became a senator as well. that's not all she became, of course... she became the leader of her cell in the alliance against the corrupt empire. and because she had diplomatic immunity, she was a vital link for getting information to the rebel cause. that's what she was doing when her path crossed yours... for her foster parents had always told her to contact me on tatooine, if her troubles became desperate. [EOL]",but
LUKE,"but you can't let her get involved now, ben. vader will destroy her. [EOL]",she
BEN,"she hasn't been trained in the ways of the jedi the way you have, luke ... but the force is strong with her, as it is with all of your family. there is no avoiding the battle. you must face and destroy vader! [EOL]","well,"
HAN,"well, look at you, a general, huh? [EOL]","oh,"
LANDO,"oh, well, someone must have told them about my little maneuver at the battle of taanab. [EOL]","well,"
HAN,"well, don't look at me, pal. i just said you were a fair pilot. i didn't know they were lookin' for somebody to lead this crazy attack. [EOL]",i'm
LANDO,i'm surprised they didn't ask you to do it. [EOL],"well,"
HAN,"well, who says they didn't. but i ain't crazy. you're the respectable one, remember? [EOL]",the
MON MOTHMA,the emperor has made a critical error and the time for our attack has come. [EOL],the
MON MOTHMA,"the data brought to us by the bothan spies pinpoints the exact location of the emperor's new battle station. we also know that the weapon systems of this death star are not yet operational. with the imperial fleet spread throughout the galaxy in a vain effort to engage us, it is relatively unprotected. but most important of all, we've learned that the emperor himself is personally overseeing the final stages of the construction of this death star. [EOL]",many
MON MOTHMA,"many bothans died to bring us this information. admiral ackbar, please. [EOL]",you
ACKBAR,"you can see here the death star orbiting the forest moon of endor. although the weapon systems on this death star are not yet operational, the death star does have a strong defense mechanism. it is protected by an energy shield, which is generated from the nearby forest moon of endor. the shield must be deactivated if any attack is to be attempted. once the shield is down, our cruisers will create a perimeter, while the fighters fly into the superstructure and attempt to knock out the main reactor. [EOL]",general
ACKBAR,general calrissian has volunteered to lead the fighter attack [EOL],good
HAN,good luck. [EOL],you're
HAN,you're gonna need it. [EOL],general
ACKBAR,general madine. [EOL],we
GENERAL MADINE,"we have stolen a small imperial shuttle. disguised as a cargo ship, and using a secret imperial code, a strike team will land on the moon and deactivate the shield generator. [EOL]",sounds
THREEPIO,sounds dangerous. [EOL],i
LEIA,i wonder who they found to pull that off. [EOL],general
GENERAL MADINE,"general solo, is your strike team assembled? [EOL]","uh,"
HAN,"uh, my team's ready. i don't have a command crew for the shuttle. [EOL]","well,"
HAN,"well, it's gonna be rough, pal. i didn't want to speak for you. [EOL]",that's
HAN,that's one. [EOL],"uh,"
LEIA,"uh, general... count me in. [EOL]",i'm
VOICE,"i'm with you, too! [EOL]",what
LEIA,what is it? [EOL],ask
LUKE,ask me again sometime. [EOL],luke.
HAN,luke. [EOL],"hi,"
LUKE,"hi, han... chewie. [EOL]","\""exciting\"""
THREEPIO,"\""exciting\"" is hardly the word i would use. [EOL]",look.
HAN,look. i want you to take her. i mean it. take her. you need all the help you can get. she's the fastest ship in the fleet. [EOL],all
LANDO,"all right, old buddy. you know, i know what she means to you. i'll take good care of her. she-she won't get a scratch. all right? [EOL]",right.
HAN,right. i got your promise now. not a scratch. [EOL],"look,"
LANDO,"look, would you get going, you pirate. [EOL]","you,"
HAN,"you, too. [EOL]",you
HAN,you got her warmed? [EOL],"yeah,"
LUKE,"yeah, she's comin' up. [EOL]",no.
HAN,"no. i don't think the empire had wookiees in mind when they designed her, chewie. [EOL]","hey,"
LEIA,"hey, are you awake? [EOL]","yeah,"
HAN,"yeah, i just got a funny feeling. like i'm not gonna see her again. [EOL]",come
LEIA,"come on, general, let's move. [EOL]",right.
HAN,"right. chewie, let's see what this piece of junk can do. ready, everybody? [EOL]",all
LUKE,all set. [EOL],here
THREEPIO,here we go again. [EOL],all
HAN,"all right, hang on. [EOL]",what
VADER,"what is thy bidding, my master? [EOL]",send
EMPEROR,send the fleet to the far side of endor. there it will stay until called for. [EOL],what
VADER,what of the reports of the rebel fleet massing near sullust? [EOL],it
EMPEROR,"it is of no concern. soon the rebellion will be crushed and young skywalker will be one of us! your work here is finished, my friend. go out to the command ship and await my orders. [EOL]",if
HAN,"if they don't go for this, we're gonna have to get outta here pretty quick, chewie. [EOL]",we
CONTROLLER,we have you on our screen now. please identify. [EOL],shuttle
HAN,shuttle tydirium requesting deactivation of the deflector shield. [EOL],shuttle
CONTROLLER,"shuttle tydirium, transmit the clearance code for shield passage. [EOL]",transmission
HAN,transmission commencing. [EOL],now
LEIA,now we find out if that code is worth the price we paid. [EOL],it'll
HAN,it'll work. it'll work. [EOL],vader's
LUKE,vader's on that ship. [EOL],now
HAN,"now don't get jittery, luke. there are a lot of command ships. keep your distance though, chewie, but don't look like you're trying to keep your distance. [EOL]",i
HAN,i don't know. fly casual. [EOL],i'm
LUKE,i'm endangering the mission. i shouldn't have come. [EOL],it's
HAN,"it's your imagination, kid. come on. let's keep a little optimism here. [EOL]",where
VADER,where is that shuttle going? [EOL],shuttle
PIETT,"shuttle tydirium, what is your cargo and destination? [EOL]",parts
PILOT VOICE,parts and technical crew for the forest moon. [EOL],do
VADER,do they have a code clearance? [EOL],it's
PIETT,"it's an older code, sir, but it checks out. i was about to clear them. [EOL]",shall
PIETT,shall i hold them? [EOL],no.
VADER,no. leave them to me. i will deal with them myself. [EOL],as
PIETT,"as you wish, my lord. carry on. [EOL]",they're
HAN,"they're not goin' for it, chewie. [EOL]",shuttle
CONTROLLER,"shuttle tydirium, deactivation of the shield will commence immediately. follow your present course. [EOL]",okay!
HAN,okay! i told you it was gonna work. no problem. [EOL],"oh,"
THREEPIO,"oh, i told you it was dangerous here. [EOL]",shall
LEIA,shall we try and go around? [EOL],it'll
HAN,it'll take time. this whole party'll be for nothing if they see us. [EOL],chewie
HAN,chewie and i will take care of this. you stay here. [EOL],"quietly,"
LUKE,"quietly, there might be more of them out there. [EOL]",hey...
HAN,hey... it's me. [EOL],go
SCOUT #1,go for help! go! [EOL],great.
LUKE,great. come on. [EOL],over
LEIA,over there! two more of them! [EOL],i
LUKE,"i see them. wait, leia! [EOL]",quick!
LUKE,quick! jam their comlink. center switch! [EOL],"hey,"
HAN,"hey, wait! ahhh! [EOL]",move
LUKE,move closer! [EOL],get
LUKE,get alongside that one! [EOL],get
LUKE,get him! [EOL],keep
LUKE,keep on that one! i'll take these two! [EOL],"oh,"
THREEPIO,"oh, general solo, somebody's coming. oh! [EOL]",luke!
HAN,luke! where's leia? [EOL],what?
LUKE,what? she didn't come back? [EOL],i
HAN,i thought she was with you. [EOL],we
LUKE,we got separated. [EOL],"hey,"
LUKE,"hey, we better go look for her. [EOL]",take
HAN,take the squad ahead. we'll meet at the shield generator at 0300. [EOL],come
LUKE,"come on, artoo. we'll need your scanners. [EOL]",don't
THREEPIO,"don't worry, master luke. we know what to do. [EOL]",and
THREEPIO,and you said it was pretty here. ugh! [EOL],cut
LEIA,cut it out! [EOL],i'm
LEIA,i'm not gonna hurt you. [EOL],"well,"
LEIA,"well, looks like i'm stuck here. trouble is, i don't know where here is. [EOL]","well,"
LEIA,"well, maybe you can help me. come on, sit down. [EOL]",i
LEIA,i promise i won't hurt you. now come here. [EOL],all
LEIA,all right. you want something to eat? [EOL],that's
LEIA,that's right. come on. hmmm? [EOL],"look,"
LEIA,"look, it's a hat. it's not gonna hurt you. look. you're a jittery little thing, aren't you? [EOL]",freeze!
SCOUT #l,"freeze! come on, get up! [EOL]",go
SCOUT #1,go get your ride and take her back to base. [EOL],come
LEIA,"come on, let's get outta here. [EOL]",halt!
GUARD,halt! the emperor does not wish to be disturbed at the moment. [EOL],the
VADER,"the emperor will see me, now! [EOL]",the
GUARD,"the emperor will see you, now. [EOL]",i
EMPEROR,i told you to remain on the command ship. [EOL],a
VADER,a small rebel force has penetrated the shield and landed on endor. [EOL],"yes,"
EMPEROR,"yes, i know. [EOL]",my
VADER,my son is with them. [EOL],are
EMPEROR,are you sure? [EOL],i
VADER,"i have felt him, my master. [EOL]","strange,"
EMPEROR,"strange, that i have not. i wonder if your feelings on this matter are clear, lord vader. [EOL]",they
VADER,"they are clear, my master. [EOL]",then
EMPEROR,then you must go to the sanctuary moon and wait for them. [EOL],he
VADER,he will come to me? [EOL],i
EMPEROR,i have foreseen it. his compassion for you will be his undoing. he will come to you and then you will bring him before me. [EOL],luke!
HAN,luke! luke! [EOL],"oh,"
THREEPIO,"oh, master luke. [EOL]",there's
LUKE,there's two more wrecked speeders back there. and i found this. [EOL],i'm
THREEPIO,i'm afraid that artoo's sensors can find no trace of princess leia. [EOL],i
HAN,i hope she's alright. [EOL],"what,"
HAN,"what, chewie? what? chewie! [EOL]","hey,"
HAN,"hey, i don't get it. [EOL]","nah,"
HAN,"nah, it's just a dead animal, chewie. [EOL]","chewie,"
LUKE,"chewie, wa-wait! don't! [EOL]",nice
HAN,"nice work. great, chewie! great! always thinking with your stomach. [EOL]",will
LUKE,"will you take it easy? let's just figure out a way to get out of this thing. han, can you reach my lightsaber? [EOL]","yeah,"
HAN,"yeah, sure. [EOL]","artoo,"
THREEPIO,"artoo, i'm not sure that's such a good idea. it's a very long dro-o-op!! [EOL]",wha--?
HAN,wha--? hey! point that thing someplace else. [EOL],hey!
HAN,hey! [EOL],"han,"
LUKE,"han, don't. it'll be all right. [EOL]","chewie,"
LUKE,"chewie, give 'em your crossbow. [EOL]","oh,"
THREEPIO,"oh, my head. oh, my goodness! [EOL]",do
LUKE,do you understand anything they're saying? [EOL],"oh,"
THREEPIO,"oh, yes, master luke! remember that i am fluent in over six million forms of communication. [EOL]",what
HAN,what are you telling them? [EOL],"hello,"
THREEPIO,"hello, i think... i could be mistaken. they're using a very primitive dialect. but i do believe they think i am some sort of god. [EOL]","well,"
HAN,"well, why don't you use your divine influence and get us out of this? [EOL]",i
THREEPIO,"i beg your pardon, general solo, but that just wouldn't be proper. [EOL]",proper?!
HAN,proper?! [EOL],it's
THREEPIO,it's against my programming to impersonate a deity. [EOL],"why,"
HAN,"why, you-- [EOL]",my
HAN,my mistake. he's an old friend of mine. [EOL],i
HAN,i have a really bad feeling about this. [EOL],i'm
THREEPIO,"i'm rather embarrassed, general solo, but it appears you are to be the main course at a banquet in my honor. [EOL]",oh!
LEIA,oh! [EOL],your
THREEPIO,your royal highness. [EOL],but
LEIA,"but these are my friends. threepio, tell them they must be set free. [EOL]","somehow,"
HAN,"somehow, i got the feeling that didn't help us very much. [EOL]","threepio,"
LUKE,"threepio, tell them if they don't do as you wish, you'll become angry and use your magic. [EOL]",but
THREEPIO,"but master luke, what magic? couldn't possibly -- [EOL]",just
LUKE,just tell them. [EOL],you
THREEPIO,"you see, master luke; they didn't believe me. just... [EOL]",...
THREEPIO,"... as i said they wouldn't. wha-wha-what's happening! oh! oh, dear! oh! [EOL]",put
THREEPIO,"put me down! he-e-elp! master luke! artoo! somebody, somebody, help! master luke, artoo! artoo, quickly! do something, somebody! oh! ohhh! [EOL]","oh,"
THREEPIO,"oh, oh, oh, oh! thank goodness. [EOL]","thanks,"
LUKE,"thanks, threepio. [EOL]",i...i
THREEPIO,i...i never knew i had it in me. [EOL],"yes,"
THREEPIO,"yes, artoo. i was just coming to that. [EOL]",what's
HAN,what's going on? [EOL],i
LEIA,i don't know. [EOL],wonderful!
THREEPIO,wonderful! we are now a part of the tribe. [EOL],just
HAN,just what i always wanted. [EOL],"well,"
HAN,"well, short help is better than no help at all, chewie. thank you. okay. [EOL]",he
THREEPIO,he says the scouts are going to show us the quickest way to the shield generator. [EOL],good.
HAN,"good. how far is it? ask him. we need some fresh supplies, too. and try and get our weapons back. [EOL]",and
HAN,"and hurry up, will ya? i haven't got all day. [EOL]","luke,"
LUKE,"luke, what's wrong? [EOL]",leia...
LUKE,leia... do you remember your mother? your real mother? [EOL],just
LEIA,just a little bit. she died when i was very young. [EOL],what
LUKE,what do you remember? [EOL],"just...images,"
LEIA,"just...images, really. feelings. [EOL]",tell
LUKE,tell me. [EOL],she
LEIA,"she was very beautiful. kind, but...sad. why are you asking me all this? [EOL]",i
LUKE,i have no memory of my mother. i never knew her. [EOL],"luke,"
LEIA,"luke, tell me. what's troubling you? [EOL]",vader
LUKE,"vader is here...now, on this moon. [EOL]",how
LEIA,how do you know? [EOL],i
LUKE,"i felt his presence. he's come for me. he can feel when i'm near. that's why i have to go. as long as i stay, i'm endangering the group and our mission here. i have to face him. [EOL]",why?
LEIA,why? [EOL],he's
LUKE,he's my father. [EOL],your
LEIA,your father? [EOL],there's
LUKE,"there's more. it won't be easy for you to hear it, but you must. if i don't make it back, you're the only hope for the alliance. [EOL]","luke,"
LEIA,"luke, don't talk that way. you have a power i--i don't understand and could never have. [EOL]",you're
LUKE,"you're wrong, leia. you have that power too. in time you'll learn to use it as i have. the force is strong in my family. my father has it...i have it...and...my sister has it. [EOL]",yes.
LUKE,yes. it's you leia. [EOL],i
LEIA,i know. somehow...i've always known. [EOL],then
LUKE,then you know why i have to face him. [EOL],no!
LEIA,"no! luke, run away, far away. if he can feel your presence, then leave this place. i wish i could go with you. [EOL]","no,"
LUKE,"no, you don't. you've always been strong. [EOL]","but,"
LEIA,"but, why must you confront him? [EOL]",because...there
LUKE,because...there is good in him. i've felt it. he won't turn me over to the emperor. i can save him. i can turn him back to the good side. i have to try. [EOL],"hey,"
HAN,"hey, what's goin' on? [EOL]",nothing.
LEIA,nothing. i - just want to be alone for a little while. [EOL],nothing?
HAN,"nothing? come on, tell me. what's goin' on? [EOL]",i...i
LEIA,i...i can't tell you. [EOL],did
HAN,did you tell luke? is that who you could tell? [EOL],i...
LEIA,i... [EOL],ahhh...
HAN,ahhh... [EOL],i'm
HAN,i'm sorry. [EOL],hold
LEIA,hold me. [EOL],this
COMMANDER,"this is a rebel that surrendered to us. although he denies it, i believe there may be more of them, and i request permission to conduct a further search of the area. [EOL]",he
COMMANDER,he was armed only with this. [EOL],good
VADER,"good work, commander. leave us. conduct your search and bring his companions to me. [EOL]","yes,"
COMMANDER,"yes, my lord. [EOL]",the
